testID,assessmentItemID,difficultyLevel,discriminationLevel,guessLevel,knowledgeTag,Timestamp
A010000005,A010005002,-1.5365280217,2.6496631608,1.2362e-06,6308,2021-01-08 06:08:25.336946
A010000005,A010005003,-1.1517774474,2.1731034777,3.526e-07,6308,2021-01-08 06:08:25.336946
A010000005,A010005004,-1.9139431005,1.4049179467,1.20146e-05,6308,2021-01-08 06:08:25.336946
A010000005,A010005005,-1.7533038047,0.6183622753,6.82e-08,6308,2021-01-08 06:08:25.336946
A010000006,A010006001,-2.4721249517,2.1005716728,0.0010197479,5846,2021-01-08 06:08:25.336946
A010000006,A010006002,-1.3378374274,1.5689186043,4.9e-09,6308,2021-01-08 06:08:25.336946
A010000006,A010006003,-2.2265409241,0.8711934558,7.72337e-05,6308,2021-01-08 06:08:25.336946
A010000006,A010006004,-1.1811086473,0.5291470845,4.93358e-05,6308,2021-01-08 06:08:25.336946
A010000006,A010006005,-2.5461951436,1.6539003967,0.0033377087,6308,2021-01-08 06:08:25.336946
A010000007,A010007001,-2.0198721964,0.8154285224,0.0161033032,5814,2021-01-08 06:08:25.336946
A010000007,A010007002,-1.2467952976,1.2284328293,0.0010560382,5814,2021-01-08 06:08:25.336946
A010000007,A010007003,-1.5719849015,2.5598065043,0.0088743237,5814,2021-01-08 06:08:25.336946
A010000007,A010007004,-2.4972825842,0.7437011766,0.0361999506,5814,2021-01-08 06:08:25.336946
A010000007,A010007005,-0.8636180702,3.1442417904,0.00768582,5814,2021-01-08 06:08:25.336946
A010000008,A010008001,-2.5083735368,2.6865833228,0.0004209166,5814,2021-01-08 06:08:25.336946
A010000008,A010008002,-2.8779330251,1.1696584206,5.05652e-05,5814,2021-01-08 06:08:25.336946
A010000008,A010008003,-2.1931424823,2.1759210579,0.0007637742,5814,2021-01-08 06:08:25.336946
A010000008,A010008004,-0.9746826144,2.2995768906,0.0,5814,2021-01-08 06:08:25.336946
A010000008,A010008005,-1.5172056846,1.3132937613,7.16e-08,5814,2021-01-08 06:08:25.336946
A010000009,A010009001,-1.8961190698,1.4603099763,1.44207e-05,5485,2021-01-08 06:08:25.336946
A010000009,A010009002,-2.3999447122,1.85788215,0.0002927779,5485,2021-01-08 06:08:25.336946
A010000009,A010009003,-2.8858352411,0.8876134885,0.0004404361,5485,2021-01-08 06:08:25.336946
A010000009,A010009004,0.2888845198,3.7723659182,0.2999840516,5485,2021-01-08 06:08:25.336946
A010000009,A010009005,-0.5077427942,2.6266160103,0.2240958971,5485,2021-01-08 06:08:25.336946
A010000010,A010010001,-3.4701094442,0.7078815252,0.0012134484,5485,2021-01-08 06:08:25.336946
A010000010,A010010002,-2.1788966746,1.4885456269,5.7471e-06,5485,2021-01-08 06:08:25.336946
A010000010,A010010003,-1.5104782554,2.6855160393,4.960932748e-18,5485,2021-01-08 06:08:25.336946
A010000010,A010010004,-1.4933852444,2.3786793698,3.541773468e-18,5485,2021-01-08 06:08:25.336946
A010000010,A010010005,-0.4699663104,1.1468646196,6.270043619e-16,5485,2021-01-08 06:08:25.336946
A010000011,A010011001,-0.7478822731,0.9803761789,0.0002666228,7581,2021-01-08 06:08:25.336946
A010000011,A010011002,-1.5511669204,2.2958034901,0.2950170434,7581,2021-01-08 06:08:25.336946
A010000011,A010011003,-1.5369699205,1.1920508272,0.0005976992,7581,2021-01-08 06:08:25.336946
A010000011,A010011004,-0.0655167012,1.9355530119,4.128424958e-16,7581,2021-01-08 06:08:25.336946
A010000011,A010011005,-0.4645830015,1.2137388283,0.2999999999,7581,2021-01-08 06:08:25.336946
A010000012,A010012001,-0.9850054605,0.8510337919,0.0092366194,7581,2021-01-08 06:08:25.336946
A010000012,A010012002,0.1048138267,1.9305159658,0.0039786656,7581,2021-01-08 06:08:25.336946
A010000012,A010012003,-1.5177373303,2.0000176575,0.0100872415,7581,2021-01-08 06:08:25.336946
A010000012,A010012004,0.9015176117,1.4185943191,0.1214496081,7581,2021-01-08 06:08:25.336946
A010000012,A010012005,0.5625270409,1.7791709349,0.0006525174,7581,2021-01-08 06:08:25.336946
A010000013,A010013001,-2.290185129,1.2130287375,0.0122049599,5834,2021-01-08 06:08:25.336946
A010000013,A010013002,-1.9160938416,0.9596417738,0.0214127766,5834,2021-01-08 06:08:25.336946
A010000013,A010013003,-2.0874949571,0.5420329386,0.0311572512,5834,2021-01-08 06:08:25.336946
A010000013,A010013004,-0.3164525408,2.0251421413,0.2974846511,5834,2021-01-08 06:08:25.336946
A010000013,A010013005,-2.1449238924,1.2837752194,0.015438801,5834,2021-01-08 06:08:25.336946
A010000014,A010014001,-1.4410435171,1.4552137705,4.7e-09,5834,2021-01-08 06:08:25.336946
A010000014,A010014002,-2.0536660672,2.7991408195,0.0002144344,5834,2021-01-08 06:08:25.336946
A010000014,A010014003,-1.7134692898,1.8030081174,9.0686e-05,5834,2021-01-08 06:08:25.336946
A010000014,A010014004,-1.9354371893,1.9193558393,5.88126e-05,5834,2021-01-08 06:08:25.336946
A010000014,A010014005,-1.3487114414,1.2949772066,6.21e-08,5834,2021-01-08 06:08:25.336946
A010000015,A010015001,-1.1650934338,0.9884461753,0.2947903088,7593,2021-01-08 06:08:25.336946
A010000015,A010015003,-1.6397353478,1.0829902216,0.0002265742,7593,2021-01-08 06:08:25.336946
A010000015,A010015004,-1.4451380256,1.8561452089,0.0010563602,7593,2021-01-08 06:08:25.336946
A010000015,A010015005,-0.1842759781,1.1977604001,4.184e-07,7593,2021-01-08 06:08:25.336946
A010000016,A010016001,-1.9969995598,1.0068377965,0.0001021941,7593,2021-01-08 06:08:25.336946
A010000016,A010016002,-1.5938228732,1.3884002351,3e-09,7593,2021-01-08 06:08:25.336946
A010000016,A010016003,-1.8988097302,2.0144424682,6.02001e-05,7593,2021-01-08 06:08:25.336946
A010000016,A010016004,-1.4601982654,2.1066981286,1.36e-08,7593,2021-01-08 06:08:25.336946
A010000016,A010016005,-1.5640883191,1.9632914146,7.89e-08,7593,2021-01-08 06:08:25.336946
A010000017,A010017001,-1.2099948843,1.2735356038,7.775454494e-24,5814,2021-01-08 06:08:25.336946
A010000017,A010017002,-1.9509399797,1.63062384,0.0,5814,2021-01-08 06:08:25.336946
A010000017,A010017003,-2.9227743809,1.2819752346,1.21916e-05,5814,2021-01-08 06:08:25.336946
A010000017,A010017004,1.8887255855,0.8465608212,3.792662922e-39,5814,2021-01-08 06:08:25.336946
A010000017,A010017005,-2.1097438165,1.7611678728,0.0,5814,2021-01-08 06:08:25.336946
A010000017,A010017006,-2.0711365453,2.41872901,1.4e-09,5814,2021-01-08 06:08:25.336946
A010000017,A010017007,-2.2703671107,1.0206646238,6.646929893e-17,5814,2021-01-08 06:08:25.336946
A010000017,A010017008,-2.292282815,1.2736530385,0.0,5814,2021-01-08 06:08:25.336946
A010000018,A010018001,-2.2279048842,0.8561980305,5.271801392e-18,5485,2021-01-08 06:08:25.336946
A010000018,A010018002,-2.5382168412,1.4678626294,2.50914e-05,5485,2021-01-08 06:08:25.336946
A010000018,A010018003,-1.7666492429,0.8491717244,8.75765615e-22,5485,2021-01-08 06:08:25.336946
A010000018,A010018004,-2.2881821043,1.4394165563,2.806e-07,5485,2021-01-08 06:08:25.336946
A010000018,A010018005,-2.5238848118,0.7446719558,1e-10,5485,2021-01-08 06:08:25.336946
A010000018,A010018006,-1.9158696988,2.1795923292,0.0,5485,2021-01-08 06:08:25.336946
A010000018,A010018007,-1.6608688289,1.3754483013,2.25729219e-22,5485,2021-01-08 06:08:25.336946
A010000018,A010018008,-1.8836542108,1.319735604,7.225213039e-18,5485,2021-01-08 06:08:25.336946
A010000019,A010019001,-1.8706703703,0.9751756914,0.0059028522,7581,2021-01-08 06:08:25.336946
A010000019,A010019002,-1.4910247791,1.251624712,0.00087075,7581,2021-01-08 06:08:25.336946
A010000019,A010019003,-1.3770423567,1.2599561189,0.0011802857,7581,2021-01-08 06:08:25.336946
A010000019,A010019004,-1.6255703935,2.1117079601,0.0048455007,7581,2021-01-08 06:08:25.336946
A010000019,A010019005,1.1437510629,1.7470546659,0.1883779563,7581,2021-01-08 06:08:25.336946
A010000020,A010020001,-2.6369591303,0.8674812605,8.006e-07,5834,2021-01-08 06:08:25.336946
A010000020,A010020002,-2.294354102,0.825915609,8.852e-07,5834,2021-01-08 06:08:25.336946
A010000020,A010020003,-1.5988834993,1.8426022721,7.435e-07,5834,2021-01-08 06:08:25.336946
A010000020,A010020004,-1.9544158895,1.636860412,7.05766e-05,5834,2021-01-08 06:08:25.336946
A010000021,A010021001,-2.6087602797,1.6579371678,0.000665069,7593,2021-01-08 06:08:25.336946
A010000021,A010021002,-2.096253191,1.3761684844,6.162e-06,7593,2021-01-08 06:08:25.336946
A010000021,A010021003,-2.5399724747,1.142156204,0.0003522008,7593,2021-01-08 06:08:25.336946
A010000021,A010021004,-0.8850492175,1.5337519396,5.812531727e-17,7593,2021-01-08 06:08:25.336946
A010000021,A010021005,-1.2191790765,1.9743636504,1e-10,7593,2021-01-08 06:08:25.336946
A010000021,A010021006,-1.2322229585,1.6545086321,1.3e-09,7593,2021-01-08 06:08:25.336946
A010000022,A010022001,-2.4754737201,1.6663503359,0.006952045,6803,2021-01-08 06:08:25.336946
A010000022,A010022002,-2.2484732022,3.2875405506,0.0041822874,5844,2021-01-08 06:08:25.336946
A010000022,A010022003,-2.2651437948,12.5085761154,0.0042368459,5844,2021-01-08 06:08:25.336946
A010000022,A010022004,-2.9008710757,2.151919743,0.0147120093,5844,2021-01-08 06:08:25.336946
A010000022,A010022005,-0.799344481,7.3159778245,0.2659924922,6803,2021-01-08 06:08:25.336946
A010000022,A010022006,-2.546612079,0.3616479252,0.0452517295,5844,2021-01-08 06:08:25.336946
A010000023,A010023001,-3.0686312349,0.4108438991,0.0127104389,5845,2021-01-08 06:08:25.336946
A010000023,A010023002,-1.3369431135,4.7412479932,0.0088922932,6307,2021-01-08 06:08:25.336946
A010000023,A010023003,-1.0100056444,1.1485542695,0.1147108169,5845,2021-01-08 06:08:25.336946
A010000023,A010023004,0.4252548724,3.4076680343,0.2667645324,6804,2021-01-08 06:08:25.336946
A010000024,A010024001,-2.4051026798,0.9292697763,0.0214017908,5836,2021-01-08 06:08:25.336946
A010000024,A010024002,-1.4213534618,1.5666929871,0.0002345917,5836,2021-01-08 06:08:25.336946
A010000024,A010024003,-1.9925892744,4.0894444138,0.0088511474,5836,2021-01-08 06:08:25.336946
A010000024,A010024004,-1.3968226042,2.5810324364,0.0004167528,5836,2021-01-08 06:08:25.336946
A010000024,A010024005,-1.8664662051,1.8306625549,0.0044727632,5836,2021-01-08 06:08:25.336946
A010000025,A010025001,-0.8158689848,0.5658342643,0.0066391589,5836,2021-01-08 06:08:25.336946
A010000025,A010025002,-1.8644971964,2.0303471059,0.0020833967,5836,2021-01-08 06:08:25.336946
A010000025,A010025003,-2.2195084665,1.1151435986,0.0002436737,5836,2021-01-08 06:08:25.336946
A010000025,A010025004,-1.5767910573,2.6507359398,2.731e-05,5836,2021-01-08 06:08:25.336946
A010000025,A010025005,-0.2853498304,1.4194528709,5.75e-08,5836,2021-01-08 06:08:25.336946
A010000026,A010026001,-1.9715896457,1.0608965556,6e-10,5836,2021-01-08 06:08:25.336946
A010000026,A010026002,-0.5910282426,1.5285169988,2.1188e-05,5836,2021-01-08 06:08:25.336946
A010000026,A010026003,-1.2324724453,3.1986028932,1e-09,5836,2021-01-08 06:08:25.336946
A010000026,A010026004,-1.385240728,0.9856764716,1.501e-07,5836,2021-01-08 06:08:25.336946
A010000026,A010026005,-0.3883343619,0.5638134355,3.72976e-05,5836,2021-01-08 06:08:25.336946
A010000026,A010026006,-1.0202115343,3.5669314612,1.709977385e-47,5836,2021-01-08 06:08:25.336946
A010000027,A010027001,-2.6217601795,0.7868290131,0.0309298558,6308,2021-01-08 06:08:25.336946
A010000027,A010027002,-1.9416131934,3.7080683669,0.0151439763,6308,2021-01-08 06:08:25.336946
A010000027,A010027003,-2.2620348943,0.5584062787,0.0486690545,6308,2021-01-08 06:08:25.336946
A010000028,A010028001,-1.8137990042,3.0674549109,1.26299e-05,7597,2021-01-08 06:08:25.336946
A010000028,A010028002,-1.916485988,2.4453871929,2.8245e-06,7600,2021-01-08 06:08:25.336946
A010000028,A010028003,-1.9962835897,1.904176826,3.243e-07,7597,2021-01-08 06:08:25.336946
A010000028,A010028004,-2.6444967622,1.2281374127,0.0004493353,7597,2021-01-08 06:08:25.336946
A010000028,A010028005,-2.2227822126,0.8580521295,0.0007139004,7600,2021-01-08 06:08:25.336946
A010000029,A010029001,-1.6921767049,1.5431645419,0.0001178138,7600,2021-01-08 06:08:25.336946
A010000029,A010029002,-1.6275101016,6.9748826592,7.81893e-05,7597,2021-01-08 06:08:25.336946
A010000029,A010029003,-1.5633316604,4.8459576896,6.8763e-05,7600,2021-01-08 06:08:25.336946
A010000029,A010029004,-1.7721954719,3.0442247038,0.0009827473,7597,2021-01-08 06:08:25.336946
A010000029,A010029005,-1.5708573601,1.5113386477,0.0001365981,7597,2021-01-08 06:08:25.336946
A010000030,A010030001,-1.9971984907,4.2203510793,0.0022543445,7597,2021-01-08 06:08:25.336946
A010000030,A010030002,-2.1196125227,1.2422132002,0.0001405771,7600,2021-01-08 06:08:25.336946
A010000030,A010030003,-0.5828689287,2.6217064606,0.1491568707,7600,2021-01-08 06:08:25.336946
A010000030,A010030004,-1.2648199947,2.8694562658,6.98857e-05,7597,2021-01-08 06:08:25.336946
A010000030,A010030005,-0.336690468,2.713526972,0.1511694083,7597,2021-01-08 06:08:25.336946
A010000031,A010031001,-2.1130050781,2.4251452203,0.0003685277,7597,2021-01-08 06:08:25.336946
A010000031,A010031002,-2.0931807015,1.4465928592,1.01803e-05,7597,2021-01-08 06:08:25.336946
A010000031,A010031003,-0.8830075275,1.6028425057,1.15e-08,7600,2021-01-08 06:08:25.336946
A010000031,A010031004,-0.1879953048,2.5219625407,2.427778362e-19,7600,2021-01-08 06:08:25.336946
A010000031,A010031005,-0.2580542937,3.6668984307,1.4e-09,7597,2021-01-08 06:08:25.336946
A010000032,A010032001,-0.8898115816,1.3198511062,2.08004e-05,7596,2021-01-08 06:08:25.336946
A010000032,A010032002,-1.5874647654,2.5535106624,2.1e-09,7596,2021-01-08 06:08:25.336946
A010000032,A010032003,-1.5291525102,4.3565491803,1e-10,7599,2021-01-08 06:08:25.336946
A010000032,A010032004,-0.7678775125,3.2853853556,3.1537e-06,7599,2021-01-08 06:08:25.336946
A010000033,A010033001,-1.8163203844,0.8483776557,0.0002646549,7596,2021-01-08 06:08:25.336946
A010000033,A010033002,-1.4431872981,2.5386089118,0.0001336146,7596,2021-01-08 06:08:25.336946
A010000033,A010033003,-1.2672412602,2.3989893709,4.6751e-06,7599,2021-01-08 06:08:25.336946
A010000033,A010033004,-0.8771748763,1.8721893405,6.02e-08,7599,2021-01-08 06:08:25.336946
A010000034,A010034001,-2.8601667879,2.1168187544,0.0005141906,7595,2021-01-08 06:08:25.336946
A010000034,A010034002,-1.4417513976,2.5449343998,7.14222e-05,7595,2021-01-08 06:08:25.336946
A010000034,A010034003,-1.5593525321,2.8989119874,4.97731e-05,7595,2021-01-08 06:08:25.336946
A010000034,A010034004,-1.636436839,2.8343867179,1.40409e-05,7595,2021-01-08 06:08:25.336946
A010000034,A010034005,-0.2632774696,1.2512740866,4.554977323e-65,7595,2021-01-08 06:08:25.336946
A010000035,A010035001,-1.9799046948,2.6460429525,0.0045058239,7595,2021-01-08 06:08:25.336946
A010000035,A010035002,-0.5169339418,1.3056270732,6.2588e-06,7595,2021-01-08 06:08:25.336946
A010000035,A010035003,-1.5765794937,2.270714455,0.0002639833,7595,2021-01-08 06:08:25.336946
A010000035,A010035004,-0.5141497357,1.2184831042,8.71e-08,7595,2021-01-08 06:08:25.336946
A010000035,A010035005,-1.3955918214,1.8807025362,0.0001693873,7595,2021-01-08 06:08:25.336946
A010000036,A010036001,-2.4723606582,1.3011274154,0.0011175535,7596,2021-01-08 06:08:25.336946
A010000036,A010036002,-1.7363589391,0.9001594727,3.8e-09,7596,2021-01-08 06:08:25.336946
A010000036,A010036003,-1.9390954537,0.9806784552,0.0007234955,7596,2021-01-08 06:08:25.336946
A010000036,A010036004,-0.999453454,1.8949053539,4.884178541e-16,7596,2021-01-08 06:08:25.336946
A010000036,A010036005,-0.4810656609,1.4848895855,8.218552878e-21,7596,2021-01-08 06:08:25.336946
A010000037,A010037001,-2.3366298422,1.4659952414,0.0015213062,7596,2021-01-08 06:08:25.336946
A010000037,A010037002,-1.4209248792,1.0275835011,0.0002777414,7596,2021-01-08 06:08:25.336946
A010000037,A010037003,-0.6012659257,1.1447836392,0.0,7596,2021-01-08 06:08:25.336946
A010000037,A010037004,-1.739617997,2.3527175374,0.0002793618,7596,2021-01-08 06:08:25.336946
A010000037,A010037005,-0.8387632153,1.8211526676,0.000119101,7596,2021-01-08 06:08:25.336946
A010000038,A010038001,-1.8946004387,2.3444278531,3.42223e-05,7597,2021-01-08 06:08:25.336946
A010000038,A010038002,-1.4453165947,1.2597986968,2.00697e-05,7597,2021-01-08 06:08:25.336946
A010000038,A010038003,-1.8831265318,2.3837160945,7.65971e-05,7597,2021-01-08 06:08:25.336946
A010000038,A010038004,-1.2560306429,1.9757051419,8.88252e-05,7597,2021-01-08 06:08:25.336946
A010000038,A010038005,-1.5362844003,0.811831149,0.3,7597,2021-01-08 06:08:25.336946
A010000039,A010039001,-1.8396339939,2.68146126,1.8e-09,7597,2021-01-08 06:08:25.336946
A010000039,A010039002,-2.137879039,1.9725139635,0.0,7597,2021-01-08 06:08:25.336946
A010000039,A010039003,-1.7074189029,1.6020739263,1.4863e-06,7597,2021-01-08 06:08:25.336946
A010000039,A010039004,-1.0327775861,1.2424694638,1.777e-07,7597,2021-01-08 06:08:25.336946
A010000039,A010039005,-1.7501988466,1.5669158767,3.755e-07,7597,2021-01-08 06:08:25.336946
A010000040,A010040001,-2.8568686621,1.5242867657,0.0054329267,7598,2021-01-08 06:08:25.336946
A010000040,A010040002,-1.2566253693,1.417451278,4.13e-08,7598,2021-01-08 06:08:25.336946
A010000040,A010040003,-1.3804048499,59.7485718059,1.6754e-06,7598,2021-01-08 06:08:25.336946
A010000040,A010040004,-0.6172247625,1.1171783185,0.0001072393,7598,2021-01-08 06:08:25.336946
A010000040,A010040005,-0.8571744853,1.5352786406,5.45e-08,7598,2021-01-08 06:08:25.336946
A010000041,A010041001,-2.2237374941,1.6401637979,0.0078091283,7598,2021-01-08 06:08:25.336946
A010000041,A010041002,0.037696114,10.634811877,0.181033005,7598,2021-01-08 06:08:25.336946
A010000041,A010041003,-1.8144533194,2.0050086705,0.0150075518,7598,2021-01-08 06:08:25.336946
A010000041,A010041004,-0.7244020832,2.4519843055,0.0052783903,7598,2021-01-08 06:08:25.336946
A010000041,A010041005,-0.5397203379,0.9470431647,1.5031e-06,7598,2021-01-08 06:08:25.336946
A010000042,A010042001,-2.0832757338,1.3932695601,0.0012753839,7599,2021-01-08 06:08:25.336946
A010000042,A010042002,-1.1681578105,2.0847673954,2.1e-09,7599,2021-01-08 06:08:25.336946
A010000042,A010042003,-0.6415200904,1.5862491795,0.0,7599,2021-01-08 06:08:25.336946
A010000042,A010042004,-1.3482401579,1.8284881995,7.5899e-06,7599,2021-01-08 06:08:25.336946
A010000042,A010042005,-0.9820418391,1.8967988925,8e-10,7599,2021-01-08 06:08:25.336946
A010000043,A010043001,-1.8383398743,1.9507041877,0.0101065955,7599,2021-01-08 06:08:25.336946
A010000043,A010043002,-1.6614511218,1.6512694165,0.0028784889,7599,2021-01-08 06:08:25.336946
A010000043,A010043003,-1.3641134949,3.2349969448,0.0001122059,7599,2021-01-08 06:08:25.336946
A010000043,A010043004,-1.1115738777,1.1399341658,4.0927e-06,7599,2021-01-08 06:08:25.336946
A010000043,A010043005,-1.4802481819,1.4888505315,0.0003573907,7599,2021-01-08 06:08:25.336946
A010000044,A010044001,-2.1623610681,1.6042696185,0.0077526884,7600,2021-01-08 06:08:25.336946
A010000044,A010044002,-0.8488963413,1.8255691722,4.23253e-05,7600,2021-01-08 06:08:25.336946
A010000044,A010044003,0.3673334452,23.971558879,0.2999999343,7600,2021-01-08 06:08:25.336946
A010000044,A010044004,-0.6744019361,1.6277997011,2.839e-07,7600,2021-01-08 06:08:25.336946
A010000044,A010044005,-1.0122761277,2.2375131754,4.81842e-05,7600,2021-01-08 06:08:25.336946
A010000045,A010045001,-2.4909740555,0.9847655065,0.0006165043,7600,2021-01-08 06:08:25.336946
A010000045,A010045002,-2.422370852,0.6256974316,5.95587e-05,7600,2021-01-08 06:08:25.336946
A010000045,A010045003,-0.6676064653,1.1468519872,3.7434532e-16,7600,2021-01-08 06:08:25.336946
A010000045,A010045004,-1.7457484817,1.6592842649,4.5437e-06,7600,2021-01-08 06:08:25.336946
A010000045,A010045005,-1.3842064319,2.1530856523,5e-09,7600,2021-01-08 06:08:25.336946
A010000046,A010046001,-1.3273845772,2.5515894879,1.1636e-05,7601,2021-01-08 06:08:25.336946
A010000046,A010046002,-1.5375602491,2.0362975362,4.06969e-05,7601,2021-01-08 06:08:25.336946
A010000046,A010046003,-2.2354847233,2.1493589858,0.0040520739,7601,2021-01-08 06:08:25.336946
A010000046,A010046004,-1.4025164699,1.4653509824,0.0001009171,7601,2021-01-08 06:08:25.336946
A010000046,A010046005,-0.2283913103,65.4370577066,0.2999999844,7601,2021-01-08 06:08:25.336946
A010000047,A010047001,-1.6233162268,1.8160712977,0.0021242131,7601,2021-01-08 06:08:25.336946
A010000047,A010047002,-1.8106518702,2.4509578392,0.0006338039,7601,2021-01-08 06:08:25.336946
A010000047,A010047003,-1.5386106812,1.7416309322,7.9374e-06,7601,2021-01-08 06:08:25.336946
A010000047,A010047004,-1.6101254508,2.0163091766,0.0005595552,7601,2021-01-08 06:08:25.336946
A010000047,A010047005,-1.1226074583,1.3014988226,2.091e-07,7601,2021-01-08 06:08:25.336946
A010000048,A010048001,-2.2693168543,0.7921574372,0.0021748547,7597,2021-01-08 06:08:25.336946
A010000048,A010048002,-1.5798796242,1.3144993006,0.0009172027,7600,2021-01-08 06:08:25.336946
A010000048,A010048003,-0.7405571093,1.5760669092,0.0003913667,7600,2021-01-08 06:08:25.336946
A010000048,A010048004,-0.1448069588,3.0314844884,1.665e-06,7597,2021-01-08 06:08:25.336946
A010000048,A010048005,-0.0202127547,26.1507180799,0.0155192526,7600,2021-01-08 06:08:25.336946
A010000049,A010049001,-2.2017453494,1.7293781649,4.5e-09,7600,2021-01-08 06:08:25.336946
A010000049,A010049002,-1.7461288553,1.2756484373,3.54116e-05,7597,2021-01-08 06:08:25.336946
A010000049,A010049003,-2.2412199095,2.5828037073,1.34e-08,7597,2021-01-08 06:08:25.336946
A010000049,A010049004,-0.1600685628,1.6737269298,3.94491e-05,7597,2021-01-08 06:08:25.336946
A010000049,A010049005,0.0716220743,1.7961698476,1.684040948e-28,7597,2021-01-08 06:08:25.336946
A010000050,A010050001,-1.5171288066,1.9950354558,1.17549e-05,7597,2021-01-08 06:08:25.336946
A010000050,A010050003,-1.4748699389,1.0616466001,0.0,7600,2021-01-08 06:08:25.336946
A010000050,A010050004,-1.7644550338,2.6011741623,1.2968e-06,7597,2021-01-08 06:08:25.336946
A010000050,A010050005,-1.4313800274,41.9691066072,9.2e-09,7600,2021-01-08 06:08:25.336946
A010000050,A010050006,-1.8925983469,3.0021136466,2.22e-08,7597,2021-01-08 06:08:25.336946
A010000051,A010051001,-0.9509821051,1.859523608,0.0001325087,7597,2021-01-08 06:08:25.336946
A010000051,A010051002,-0.9104365609,3.2948913361,1.49051e-05,7600,2021-01-08 06:08:25.336946
A010000051,A010051003,-0.9283416226,2.2287055438,2.76372e-05,7600,2021-01-08 06:08:25.336946
A010000051,A010051004,-1.8612828043,1.197618306,0.0030376119,7600,2021-01-08 06:08:25.336946
A010000051,A010051005,-1.0230553912,1.2914417163,8.78636e-05,7597,2021-01-08 06:08:25.336946
A010000052,A010052001,-1.9333704914,1.5108472379,4.632e-06,7596,2021-01-08 06:08:25.336946
A010000052,A010052002,-1.7142784891,2.7802772754,1.7807e-06,7596,2021-01-08 06:08:25.336946
A010000052,A010052003,-1.0657989936,1.5237684803,9e-10,7599,2021-01-08 06:08:25.336946
A010000052,A010052004,-0.8649335491,1.8619450051,1e-10,7599,2021-01-08 06:08:25.336946
A010000052,A010052005,-0.3183771108,1.1207646902,1.9205e-06,7599,2021-01-08 06:08:25.336946
A010000052,A010052006,0.1749570976,1.1845461753,1.2e-09,7599,2021-01-08 06:08:25.336946
A010000053,A010053001,-1.8832538275,1.177294817,0.0001296346,7595,2021-01-08 06:08:25.336946
A010000053,A010053002,-2.2062261991,2.5828462923,0.000241553,7595,2021-01-08 06:08:25.336946
A010000053,A010053003,-2.27782719,0.8566420939,0.0001336222,7595,2021-01-08 06:08:25.336946
A010000053,A010053004,0.3533510024,67.9804380507,0.2225303109,7595,2021-01-08 06:08:25.336946
A010000053,A010053005,-0.4117850819,5.6512646035,4.805e-07,7595,2021-01-08 06:08:25.336946
A010000054,A010054001,-0.9476267262,0.6068727035,0.0125906753,7596,2021-01-08 06:08:25.336946
A010000054,A010054002,-1.4018882879,3.2642273551,0.0030394864,7596,2021-01-08 06:08:25.336946
A010000054,A010054003,-1.7560012551,1.3363921622,0.0056366789,7596,2021-01-08 06:08:25.336946
A010000054,A010054004,0.8037344983,0.6598001356,0.0018167461,7596,2021-01-08 06:08:25.336946
